"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"793","70397179.78699218",405,"173820.19700491897","560401.9749158189","-952500","23750.01","68320","138808.5","8300000"
"397","5886121.477990722",229,"25703.58724013416","51540.524155988176","24","476","4413.72021484375","27725","401064.6"
"228","467036.87",24,"19459.869583333333","48514.31009688418","54","363.125","2045","10229.7","224657.97"
"168","1362212.201640625",15,"90814.14677604167","95248.48677615849","7800","32405.0556640625","67172.2109375","89597.46484375","375600"
"452","10466609438.281954",12493,"837797.9218988196","5252916.728028706","0","124792.8125","251602.79","574917.38","379500000"
"799","90768335.60240233",501,"181174.3225596853","464960.3245155407","0","46495","85000","171439.2","7002831.5"
"454","1122988385.5419238",2968,"378365.35901008215","791995.1715256663","0","63685.6123046875","166044.8540625","377185.164375","12104889.09"
"515","3510978.7693481445",63,"55729.82173568483","136635.35708600056","-151200","804.26","6750","64757.85","938830"
"516","1648141.7378125",15,"109876.11585416667","58570.600714151726","15480","78548.87609375","93639.9609375","148569.82","203223.6"
"980","2876048.6174999997",19,"151370.97986842104","153816.29143718415","6.95","51587.5","88450","225335.09999999998","557250"
"220","3383417.0108105466",43,"78684.11653047783","89414.77632504438","1080","14491.75","49536","112587.7234375","342000"
"166","10946114.6721875",30,"364870.4890729167","994804.9122375286","5300","55650","94278","137571.25","5123871"
"153","27685236.090433046",358,"77333.06170512024","195253.13828979753","25.2","7783.512548828125","22174.175","56178.4501171875","1636336.35"
"434","1339935",5,"267987","209886.4385685745","68500","77435","245000","390000","559000"
"513","797059.06",9,"88562.11777777778","72978.53407242139","9837.11","41040","74900","94913.28","258711.81"
"729","3406953.688046875",39,"87357.78687299679","68326.94258205165","0","37845.3203125","64944.0390625","123549.2265625","288330"
"249","26377785.10540527",326,"80913.45124357445","279155.73040139786","0","5050.5","21038.17","65153.9375","2912230.85"
"186","126118",4,"31529.5","8392.360871649884","19440","29160","34344","36713.5","37990"
"904","163168743.8990625",254,"642396.6295238682","4506844.253577657","0","57870","121919.41500000001","214000","58478073.6"
"906","114249711.54511757",276,"413948.2302359332","1548245.5967507076","0","34254.9375","89999.69921875","205347.191875","18948619.96"
"791","5924113.249335937",73,"81152.23629227311","96288.26034857809","0","23200","46200","99500","475000"
"551","30723909.83066406",185,"166075.1882738598","617189.1650148467","-27618.33","29690.88","65868.6","98808","7141398"
"909","565305997.8241162",2178,"259552.79973559055","718504.913816155","0","29784.5","83990.51999999999","184792.1953125","14280758.21"
"604","365861612.68",27,"13550430.09925926","27552761.582659546","40500","433282.44","5203840","14973225.245","139999590"
"034","7350915.7575585935",92,"79901.25823433253","86531.72529297024","1770","25660","49848.5","98894.384765625","600000"
"315","37433826.59417969",129,"290184.7022804627","1870811.8680734977","0","22500","70000","174750","21254435.21"
"190","370468.1949169922",15,"24697.879661132814","25631.813474353534","436.260009765625","4541.120009765625","19505","29660.63984375","90184.84375"
"600","37203516.82124756",181,"205544.29183009703","1434911.4011499507","0","6982","20081.7","50000","17999998.5"
"722","294701115.3210156",1319,"223427.6840947806","457308.002007922","0","51673.625","108171.5","199870.785","5862414.51"
"350","733308.67125",8,"91663.58390625","91939.41342210525","10606","28140.48","57534.515625","125972","254140"
"500","94612597.91499999",344,"275036.62184593023","687175.0750050821","0","25000","62797.985","190000","6506518.38"
"794","49370284.536874995",378,"130609.21835152115","251668.7695997669","0","38542.159999999996","73950","136736.21250000002","2811900"
"798","52215077.27710943",505,"103396.19262793947","167737.7995346692","0","15096.75","61920","121506","1934667.75"
"167","2756515.59140625",34,"81073.98798253677","35301.74896958168","8400","57521.75","78982.5","96350","155000"
"666","38492000",5,"7698400","4207068.180455363","491500","8111000","8817500","9720000","11352000"
"245","7437438.7375",16,"464839.92109375","563389.1527400549","2371.55","49048.75","144600","900979.703125","1844700"
"640","2462923.0694140624",23,"107083.61171365489","138483.93622822745","3295.35","18032.635000000002","64900.12","121293.88","513342"
"320","12832378.588554688",40,"320809.4647138672","1292488.3583855731","4133","31777.24453125","66464.8203125","140784","8199768"
"300","7224630.601212006",172,"42003.66628611631","123753.65181276473","0","574.3225","6880","30023.94546875","1319938"
"725","207663214.92652345",865,"240073.0808399115","559707.759638893","0","52922","113670","229358.609375","9099279"
"438","421004.0787792969",15,"28066.938585286458","32604.386165496275","189.17","5399.0599365234375","15643","44742.5","116968.96"
"032","10758308.141508484",252,"42691.69897424002","127057.94745626677","24.290000915527344","4867.85","17947.35","35100.7721875","1597333.125"
"773","148946987.71382815",812,"183432.2508790987","443148.6938262408","0","41640.845703125","84578.2884375","162180","5849998.5"
"700","37750",3,"12583.333333333334","19500.02136750966","1300","1325","1350","18225","35100"
"356","1395213.12109375",13,"107324.08623798077","167225.4559884516","1780","18315.19921875","42024","96900","600374.8125"
"340","13803668.157734375",38,"363254.4252035362","761602.7719466927","17737.78","80007.95999999999","103005","276521.85","4425000"
"357","14050466.012031252",38,"369749.10557976976","922837.0549795056","432.75","4041.88","20697.84","252876.75","4942605"
"766","43440",1,"43440","NaN","43440","43440","43440","43440","43440"
"311","40871181.78460938",122,"335009.68675909325","1416929.5245646003","0","0","24973.8","95759.535","13761727"
"384","48827492.92427979",463,"105458.94800060429","215976.59602372863","0","5563.969970703125","35000","114100","1979596"
